Job Title,Position Count,Company,Location,Description,Date,Deadline,Job Type,Link
"Seksjonssjef analyse: En lederrolle i skjæringspunktet mellom data, dyrevelferd og matsikkerhet",1,Mattilsynet," Oslo, Brumunddal, Hamar","Seksjonssjef analyse: En lederrolle i skjæringspunktet mellom data, dyrevelferd og matsikkerhet",2024-02-20,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=340983106
Senior Data Engineer,1,NES GLOBAL TALENT NORGE AS, Stavanger,Senior Data Engineer,2024-02-21,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=341111379
Ambisiøs forrettningsutvikler innen KI søkes!,1,Sopra Steria, Oslo,Ambisiøs forrettningsutvikler innen KI søkes!,2024-03-21,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=345087454
"Sommerjobb for studenter i Digitale Produktteam, Lede AS",2,Lede AS,Porsgrunn,"Sommerjobb for studenter i Digitale Produktteam, Lede AS",2024-03-21,True,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342999591
DATA for GOOD - Vil du være med å knekke vekstkurven til kreft?,1,Kreftforeningen,Oslo,DATA for GOOD - Vil du være med å knekke vekstkurven til kreft?,2024-03-21,True,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343282211
Senior Fullstack utvikler,1,CENTRIC, Oslo,Senior Fullstack utvikler,2024-03-14,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344088989
Seniorutvikler,1,Ruter AS, Oslo,Seniorutvikler,2024-03-20,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344953605
Ph.D.-scholarship,1,Høgskulen på Vestlandet, Bergen,Ph.D.-scholarship,2024-03-08,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343291408
Vil du være med å utvikle Storebrands Forsikrings datavarehus?,1,Storebrand, Lysaker,Vil du være med å utvikle Storebrands Forsikrings datavarehus?,2024-03-15,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344265681
Forsker epidemiologi og legemiddelepidemiologi,1,Veterinærinstituttet, Ås,Forsker epidemiologi og legemiddelepidemiologi,2024-03-14,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344094408
